"s","level","shiver"
0.00,50,0
2414.37,50,0
2430.85,50,0
2460.85,50,0
2490.85,50,0
2520.85,50,0
2550.85,50,0
2580.84,50,0
2610.85,50,0
2640.84,50,0
2670.84,50,0
2700.84,50,0
2730.84,50,0
2760.83,50,0
2790.83,50,0
2820.83,50,0
2850.83,50,0
2880.83,50,0
2910.83,50,0
2940.83,50,0
2970.82,50,0
3000.82,50,0
3030.82,50,0
3060.82,50,0
3090.82,50,0
3120.82,50,0
3150.82,50,0
3180.81,50,0
3210.81,50,0
3240.81,50,0
3270.81,50,0
3300.80,50,0
3330.80,50,0
3360.80,50,0
3390.80,50,0
3420.80,50,0
3450.80,50,0
3480.79,50,0
3510.79,50,0
3540.79,50,0
3570.79,50,0
3591.96,49,0
3592.30,48,0
3600.79,48,0
3630.79,48,0
3660.79,48,0
3669.34,47,0
3669.75,46,0
3670.16,45,0
3690.78,45,0
3720.78,45,0
3749.09,44,0
3749.40,43,0
3749.94,42,0
3750.21,41,0
3750.54,40,0
3750.78,39,0
3750.79,39,0
3780.78,39,0
3802.87,38,0
3803.13,37,0
3808.97,36,0
3809.55,35,0
3810.78,35,0
3840.77,35,0
3870.77,35,0
3900.77,35,0
3928.41,34,0
3928.79,33,0
3930.77,33,0
3945.80,32,0
3946.53,31,0
3946.90,30,0
3960.77,30,0
3990.76,30,0
4020.77,30,0
4050.76,30,0
4080.76,30,0
4110.76,30,0
4140.76,30,0
4170.75,30,0
4200.75,30,0
4230.75,30,0
4243.91,29,0
4244.46,28,0
4260.75,28,0
4268.92,27,0
4269.31,26,0
4290.75,26,0
4293.74,25,0
4293.98,24,0
4294.64,23,0
4320.75,23,0
4337.57,22,0
4338.45,21,0
4350.74,21,0
4364.25,20,0
4380.74,20,0
4398.09,19,0
4410.74,19,0
4428.89,18,0
4429.72,17,0
4440.74,17,0
4470.74,17,0
4500.73,17,0
4530.74,17,0
4547.01,16,0
4547.68,15,0
4548.03,14,0
4560.73,14,0
4581.80,13,0
4590.73,13,0
4612.12,12,0
4613.54,11,0
4620.73,11,0
4650.73,11,0
4680.72,11,0
4710.73,11,0
4740.72,11,0
4770.72,11,0
4800.72,11,0
4830.72,11,0
4860.71,11,0
4884.80,10,0
4885.24,9,0
4890.71,9,0
4920.71,9,0
4950.71,9,0
4980.71,9,0
5010.71,9,0
5026.43,8,0
5027.06,7,0
5040.71,7,0
5070.70,7,0
5100.70,7,0
5130.70,7,0
5160.55,6,0
5160.70,6,0
5160.93,5,0
5190.70,5,0
5220.69,5,0
5250.69,5,0
5280.69,5,0
5310.69,5,0
5340.69,5,0
5370.69,5,0
5400.68,5,0
5430.69,5,0
5460.68,5,0
5466.42,4,0
5490.68,4,0
5520.68,4,0
5550.67,4,0
5580.68,4,0
5610.67,4,0
5640.67,4,0
5670.67,4,0
5680.78,3,0
5700.67,3,0
5730.67,3,0
5760.67,3,0
5790.66,3,0
5820.66,3,0
5850.66,3,0
5880.66,3,0
5910.66,3,0
5940.65,3,0
5970.65,3,0
6000.65,3,0
6016.98,2,0
6030.65,2,0
6060.65,2,0
6090.64,2,0
6120.64,2,0
6126.31,2,1
6146.42,3,1
6149.15,2,1
6149.72,1,1
6150.64,1,1
6152.14,1,0
6175.22,1,1
6180.64,1,1
6184.01,1,0
6191.51,1,1
6210.64,1,1
6240.64,1,1
6251.39,1,0
6262.81,1,1
6270.63,1,1
6300.63,1,1
6306.55,1,0
6322.75,1,1
6330.63,1,1
6360.63,1,1
6366.62,1,0
6377.61,1,1
6390.63,1,1
6395.65,1,0
6400.06,1,1
6420.63,1,1
6432.02,1,0
6445.12,1,1
6450.62,1,1
6480.62,1,1
6510.62,1,1
