Identification,
,
 Serial Number:,89 00000057CB1F 41 
 Description:,20180523_S4002_PCP1_i08 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.996
 Actual temperature:,-9
 Reference temperature:,25.887
 Actual temperature:,25.75
,
Log Values,
Reading,Values
,
0,27.886°C
1,30.821°C
2,32.007°C
3,32.569°C
4,32.818°C
5,32.818°C
6,32.943°C
7,33.38°C
8,33.63°C
9,33.817°C
10,34.066°C
11,34.316°C
12,34.441°C
13,34.628°C
14,34.752°C
15,34.877°C
16,35.002°C
17,35.064°C
18,35.127°C
19,35.127°C
20,35.189°C
21,35.251°C
22,35.251°C
23,35.314°C
24,35.314°C
25,35.314°C
26,35.376°C
27,35.376°C
28,35.376°C
29,35.376°C
30,35.376°C
31,35.376°C
32,35.376°C
33,35.376°C
34,35.376°C
35,35.314°C
36,35.251°C
37,35.127°C
38,35.064°C
39,34.94°C
40,34.877°C
41,34.815°C
42,34.752°C
43,34.628°C
44,34.628°C
45,34.565°C
46,34.441°C
47,34.316°C
48,34.191°C
49,34.066°C
50,33.942°C
51,33.879°C
52,33.754°C
53,33.692°C
54,33.567°C
55,33.505°C
56,33.442°C
57,33.38°C
58,33.318°C
59,33.193°C
60,33.068°C
61,32.943°C
62,32.818°C
63,32.756°C
64,32.694°C
65,32.631°C
66,32.506°C
67,32.444°C
68,32.382°C
69,32.257°C
70,32.132°C
71,32.007°C
72,31.945°C
73,31.82°C
74,31.758°C
75,31.695°C
76,31.633°C
77,31.57°C
78,31.508°C
79,31.445°C
80,31.383°C
81,31.258°C
82,31.133°C
83,31.009°C
84,30.946°C
85,30.821°C
86,30.759°C
87,30.634°C
88,30.572°C
89,30.509°C
90,30.509°C
91,30.384°C
92,30.322°C
93,30.259°C
94,30.197°C
95,30.134°C
96,30.072°C
97,30.134°C
98,30.696°C
99,31.133°C
100,31.383°C
101,29.76°C
102,26.137°C
103,24.512°C
104,23.699°C
105,23.199°C
106,22.886°C
107,22.698°C
108,22.573°C
109,22.448°C
110,22.386°C
111,22.323°C
112,22.323°C
113,22.323°C
114,22.26°C
115,22.198°C
116,22.198°C
117,22.198°C
118,22.198°C
119,22.198°C
120,22.198°C
121,22.26°C
122,22.26°C
123,22.26°C
124,22.26°C
125,22.26°C
126,22.323°C
127,22.323°C
128,22.323°C
129,22.323°C
130,22.323°C
131,22.323°C
132,22.386°C
133,22.386°C
134,22.386°C
135,22.386°C
136,22.386°C
137,22.386°C
138,22.448°C
139,22.448°C
140,22.448°C
141,22.448°C
142,22.448°C
143,22.511°C
144,22.511°C
145,22.511°C
146,22.511°C
147,22.511°C
148,22.511°C
149,22.573°C
150,22.573°C
151,22.573°C
152,22.573°C
153,22.573°C
154,22.636°C
155,22.636°C
156,22.636°C
157,22.636°C
158,22.698°C
159,22.698°C
160,22.698°C
161,22.698°C
162,22.698°C
163,22.761°C
164,22.761°C
165,22.761°C
166,22.761°C
167,22.761°C
168,22.761°C
169,22.823°C
170,22.823°C
171,22.823°C
172,22.823°C
173,22.823°C
174,22.823°C
175,22.886°C
176,22.886°C
177,22.886°C
178,22.886°C
179,22.886°C
180,22.886°C
181,22.948°C
182,22.948°C
